Differential Diagnosis,Severity,Nature,Signs and Symptoms,Category,Weightage Base,Rule Weightage,Major Complaint,Source,Probability of Diagnosis,Symptoms and Signs
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,50,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
,,,Normal Endoscopy ,,0.15,15,,,,
Neurofibromatosis ,10,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
Aortic Dissection ,10,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.04,
,,,SOB ,,0.1,4,,,,
,,,Nausea & Vomiting ,,0.03,1.2,,,,
,,,Diaphoresis ,,0.04,1.6,,,,
,,,Fever(low Grade) ,,0.03,1.2,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,20,,,,
,,,Papules ,,0.3,12,,,,
Pulmonary Embolism ,10,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.15,
,,,SOB ,,0.1,15,,,,
,,,Nausea & Vomiting ,,0.03,4.5,,,,
,,,Diaphoresis ,,0.04,6,,,,
,,,Fever(low Grade) ,,0.03,4.5,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,75,,,,
,,,Papules ,,0.3,45,,,,
,,,Risk Factors ,,0.15,22.5,,,,
Pericarditis ,5,Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.15,
,,,SOB ,,0.1,15,,,,
,,,Nausea & Vomiting ,,0.03,4.5,,,,
,,,Diaphoresis ,,0.04,6,,,,
,,,Fever(low Grade) ,,0.03,4.5,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,75,,,,
,,,Papules ,,0.3,45,,,,
,,,High Fever ,,0.15,22.5,,,,
,,,Ruls ,,0.15,22.5,,,,
,,,Irial Syndrome ,,0.15,22.5,,,,
Pleurisy ,5,Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,,
,,,SOB ,,0.1,,,,,
,,,Nausea & Vomiting ,,0.03,,,,,
,,,Diaphoresis ,,0.04,,,,,
,,,Fever(low Grade) ,,0.03,,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,,,,,
,,,Papules ,,0.3,,,,,
,,,High Fever ,,0.15,,,,,
,,,Ruls ,,0.15,,,,,
,,,Irial Syndrome ,,0.15,,,,,
Pneumothorax ,8,Moderately Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.04,
,,,SOB ,,0.1,4,,,,
,,,Nausea & Vomiting ,,0.03,1.2,,,,
,,,Diaphoresis ,,0.04,1.6,,,,
,,,Fever(low Grade) ,,0.03,1.2,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,20,,,,
,,,Papules ,,0.3,12,,,,
,,,Thin Body Habits ,,0.15,6,,,,
,,,COPD ,,0.15,6,,,,
Pneumonia ,8,Moderately Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.15,
,,,SOB ,,0.1,15,,,,
,,,Nausea & Vomiting ,,0.03,4.5,,,,
,,,Diaphoresis ,,0.04,6,,,,
,,,Fever(low Grade) ,,0.03,4.5,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,75,,,,
,,,Papules ,,0.3,45,,,,
,,,High Fever ,,0.15,22.5,,,,
,,,Cough ,,0.15,22.5,,,,
Myocardial Infarctions ,10,Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.15,
,,,SOB ,,0.1,15,,,,
,,,Nausea & Vomiting ,,0.03,4.5,,,,
,,,Diaphoresis ,,0.04,6,,,,
,,,Fever(low Grade) ,,0.03,4.5,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,75,,,,
,,,Papules ,,0.3,45,,,,
,,,Young Age ,,0.15,22.5,,,,
,,,Vasculopathy ,,0.15,22.5,,,,
,,,Hypercoagulation ,,0.15,22.5,,,,
,,,Drug Use ,,0.15,22.5,,,,
,,,FH ,,0.15,22.5,,,,
,,,Familiar Hyper - Cholesterolemia ,,0.15,22.5,,,,
,,,Pseudoxanthona Elasticum ,,0.15,22.5,,,,
Coronary Artery Dissection ,10,Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
,,,Coronary Embolism ,,0.15,3,,,,
Focal Myocarditis ,6,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
Stress Cardiomyopathy ,8,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
Polyarteritis Nodosa ,10,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
Takayasu's Arteritis ,10,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
,,,Low Sed Rate; Low CRP ,,0.15,3,,,,
Behcet's Disease ,10,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
,,,Low Sed Rate; Low CRP ,,0.15,3,,,,
Igg4 Related Disease ,10,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
,,,Low Sed Rate; Low CRP ,,0.15,3,,,,
Hepatitis B Virus ,8,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
,,,Low Sed Rate; Low CRP ,,0.15,3,,,,
Hepatitis C Virus ,8,Moderately Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.04,
,,,SOB ,,0.1,4,,,,
,,,Nausea & Vomiting ,,0.03,1.2,,,,
,,,Diaphoresis ,,0.04,1.6,,,,
,,,Fever(low Grade) ,,0.03,1.2,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,20,,,,
,,,Papules ,,0.3,12,,,,
,,,No Exposure or Risk Factors ,,0.15,6,,,,
HIV Virus ,10,Moderately Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.04,
,,,SOB ,,0.1,4,,,,
,,,Nausea & Vomiting ,,0.03,1.2,,,,
,,,Diaphoresis ,,0.04,1.6,,,,
,,,Fever(low Grade) ,,0.03,1.2,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,20,,,,
,,,Papules ,,0.3,12,,,,
,,,No Exposure or Risk Factors ,,0.15,6,,,,
Syphyllis ,8,Moderately Common,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.04,
,,,SOB ,,0.1,4,,,,
,,,Nausea & Vomiting ,,0.03,1.2,,,,
,,,Diaphoresis ,,0.04,1.6,,,,
,,,Fever(low Grade) ,,0.03,1.2,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,20,,,,
,,,Papules ,,0.3,12,,,,
,,,No Risk Factors ,,0.15,6,,,,
TB ,8,Rare,,,,,Substernal Chest Pain ,Neurofibromatosis Type I and MI 2 NF ,0.02,
,,,SOB ,,0.1,2,,,,
,,,Nausea & Vomiting ,,0.03,0.6,,,,
,,,Diaphoresis ,,0.04,0.8,,,,
,,,Fever(low Grade) ,,0.03,0.6,,,,
,,,Café Au Lait Lesion (hyperpigmented Patch) ,,0.5,10,,,,
,,,Papules ,,0.3,6,,,,
,,,Exposure ,,0.15,3,,,,
Cat Scratch Disease (Bartonella) ,6,Common,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.7,
,,,Flank Pain ,,0.7,490,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,84,,,,
,,,Foul Smelling Urine ,,0.01,7,,,,
,,,Night Sweats ,,0.05,35,,,,
,,,Anorexia ,,0.02,14,,,,
,,,Owns Cats ,,0.1,70,,,,
,,,Generalized Lymphadenopathy Is Rare: (Regional Can Occur) ,,0.15,105,,,,
TB ,8,Moderate,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.02,
,,,Flank Pain ,,0.7,14,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,2.4,,,,
,,,Foul Smelling Urine ,,0.01,0.2,,,,
,,,Night Sweats ,,0.05,1,,,,
,,,Anorexia ,,0.02,0.4,,,,
,,,Owns Cats ,,0.1,2,,,,
,,,Lymphadenopathy Is Painless Abbdominal Pain Cervical Lymph Nodes ,,0.15,3,,,,
Tularemia ,8,Uncommon,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.01,
,,,Flank Pain ,,0.7,7,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,1.2,,,,
,,,Foul Smelling Urine ,,0.01,0.1,,,,
,,,Night Sweats ,,0.05,0.5,,,,
,,,Anorexia ,,0.02,0.2,,,,
,,,Owns Cats ,,0.1,1,,,,
,,,Epidem Factors Not Present ,,0.15,1.5,,,,
Sporotrichosis ,8,Uncommon,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.01,
,,,Flank Pain ,,0.7,7,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,1.2,,,,
,,,Foul Smelling Urine ,,0.01,0.1,,,,
,,,Night Sweats ,,0.05,0.5,,,,
,,,Anorexia ,,0.02,0.2,,,,
,,,Owns Cats ,,0.1,1,,,,
,,,Skin Lesions ,,0.15,1.5,,,,
Nocardiosis ,8,Uncommon,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.01,
,,,Flank Pain ,,0.7,7,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,1.2,,,,
,,,Foul Smelling Urine ,,0.01,0.1,,,,
,,,Night Sweats ,,0.05,0.5,,,,
,,,Anorexia ,,0.02,0.2,,,,
,,,Owns Cats ,,0.1,1,,,,
,,,Skin Findings ,,0.15,1.5,,,,
Bacterial Infection (Staph or Strep) ,10,Moderate,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.04,
,,,Flank Pain ,,0.7,28,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,4.8,,,,
,,,Foul Smelling Urine ,,0.01,0.4,,,,
,,,Night Sweats ,,0.05,2,,,,
,,,Anorexia ,,0.02,0.8,,,,
,,,Owns Cats ,,0.1,4,,,,
,,,Sign of Leg Infection ,,0.15,6,,,,
Lymphoma ,,Uncommon,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.05,
,,,Flank Pain ,,0.7,35,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,6,,,,
,,,Foul Smelling Urine ,,0.01,0.5,,,,
,,,Night Sweats ,,0.05,2.5,,,,
,,,Anorexia ,,0.02,1,,,,
,,,Owns Cats ,,0.1,5,,,,
,,,Sign of Leg Infection ,,0.15,7.5,,,,
SLE ,10,Moderate,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.02,
,,,Flank Pain ,,0.7,14,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,2.4,,,,
,,,Foul Smelling Urine ,,0.01,0.2,,,,
,,,Night Sweats ,,0.05,1,,,,
,,,Anorexia ,,0.02,0.4,,,,
,,,Owns Cats ,,0.1,2,,,,
,,,Rash ,,0.15,3,,,,
,,,Weakness ,,0.15,3,,,,
,,,Arthralogis ,,0.15,3,,,,
RA ,8,Uncommon,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.02,
,,,Flank Pain ,,0.7,14,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,2.4,,,,
,,,Foul Smelling Urine ,,0.01,0.2,,,,
,,,Night Sweats ,,0.05,1,,,,
,,,Anorexia ,,0.02,0.4,,,,
,,,Owns Cats ,,0.1,2,,,,
,,,Rash ,,0.15,3,,,,
,,,Weakness ,,0.15,3,,,,
,,,Arthralgias ,,0.15,3,,,,
Dermatomyositis ,8,Uncommon,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.02,
,,,Flank Pain ,,0.7,14,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,2.4,,,,
,,,Foul Smelling Urine ,,0.01,0.2,,,,
,,,Night Sweats ,,0.05,1,,,,
,,,Anorexia ,,0.02,0.4,,,,
,,,Owns Cats ,,0.1,2,,,,
,,,Rash ,,0.15,3,,,,
,,,Weakness ,,0.15,3,,,,
,,,Arthralgias ,,0.15,3,,,,
STD's (lymphogranuloma ,5,Moderate,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.08,
,,,Flank Pain ,,0.7,56,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,9.6,,,,
,,,Foul Smelling Urine ,,0.01,0.8,,,,
,,,Night Sweats ,,0.05,4,,,,
,,,Anorexia ,,0.02,1.6,,,,
,,,Owns Cats ,,0.1,8,,,,
,,,Absence Off Genital Ulcers ,,0.15,12,,,,
Metastatic Carcinoma (melanoma ,10,Moderate,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.02,
,,,Flank Pain ,,0.7,14,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,2.4,,,,
,,,Foul Smelling Urine ,,0.01,0.2,,,,
,,,Night Sweats ,,0.05,1,,,,
,,,Anorexia ,,0.02,0.4,,,,
,,,Owns Cats ,,0.1,2,,,,
,,,No Physical Findings ,,0.15,3,,,,
Toxoplasmosis ,5,Common,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.02,
,,,Flank Pain ,,0.7,14,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,2.4,,,,
,,,Foul Smelling Urine ,,0.01,0.2,,,,
,,,Night Sweats ,,0.05,1,,,,
,,,Anorexia ,,0.02,0.4,,,,
,,,Owns Cats ,,0.1,2,,,,
,,,Mono Syndrome ,,0.15,3,,,,
Dengue ,5,,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.1,
,,,Flank Pain ,,0.7,70,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,12,,,,
,,,Foul Smelling Urine ,,0.01,1,,,,
,,,Night Sweats ,,0.05,5,,,,
,,,Anorexia ,,0.02,2,,,,
,,,Owns Cats ,,0.1,10,,,,
,,,Within 2 Weeks of Exposure ,,0.15,15,,,,
Chikungunya ,5,,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.1,
,,,Flank Pain ,,0.7,70,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,12,,,,
,,,Foul Smelling Urine ,,0.01,1,,,,
,,,Night Sweats ,,0.05,5,,,,
,,,Anorexia ,,0.02,2,,,,
,,,Owns Cats ,,0.1,10,,,,
,,,Within 2 Weeks of Exposure ,,0.15,15,,,,
Zika ,5,,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.1,
,,,Flank Pain ,,0.7,70,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,12,,,,
,,,Foul Smelling Urine ,,0.01,1,,,,
,,,Night Sweats ,,0.05,5,,,,
,,,Anorexia ,,0.02,2,,,,
,,,Owns Cats ,,0.1,10,,,,
,,,Within 2 Weeks of Exposure ,,0.15,15,,,,
Leptospirosis ,5,,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.1,
,,,Flank Pain ,,0.7,70,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,12,,,,
,,,Foul Smelling Urine ,,0.01,1,,,,
,,,Night Sweats ,,0.05,5,,,,
,,,Anorexia ,,0.02,2,,,,
,,,Owns Cats ,,0.1,10,,,,
,,,Diffuse Lymphadenopathy ,,0.15,15,,,,
Enteric Fever ,5,,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.1,
,,,Flank Pain ,,0.7,70,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,12,,,,
,,,Foul Smelling Urine ,,0.01,1,,,,
,,,Night Sweats ,,0.05,5,,,,
,,,Anorexia ,,0.02,2,,,,
,,,Owns Cats ,,0.1,10,,,,
,,,Mesenteric Lymphadenopathy ,,0.15,15,,,,
Endemic Mycosis ,5,,,,,,Fever ,Bartanellosis (Cat Scratch Disease) ,0.1,
,,,Flank Pain ,,0.7,70,,,,
,,,Scattered Adenopathy Including Inguinal ,,0.12,12,,,,
,,,Foul Smelling Urine ,,0.01,1,,,,
,,,Night Sweats ,,0.05,5,,,,
,,,Anorexia ,,0.02,2,,,,
,,,Owns Cats ,,0.1,10,,,,
,,,No Recent Exposures ,,0.15,15,,,,
SLE ,8,Rare,,,,,Arthralgias ,Chikungunya Viral Infection ,0.1,
,,,Symmetric ,,0.15,15,,,,
,,,Rash on Abdomen ,,0.15,15,,,,
,,,Fever ,,0.15,15,,,,
,,,Trip to Caribbean ,,0.25,25,,,,
,,,Sore Throat ,,0.1,10,,,,
,,,Ulcers on Tongue ,,0.1,10,,,,
,,,Headache ,,0.08,8,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,2,,,,
,,,Necessary Criteria ,,0.15,15,,,,
Acute Rheumatic Fever ,6,Moderately Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.02,
,,,Symmetric ,,0.15,3,,,,
,,,Rash on Abdomen ,,0.15,3,,,,
,,,Fever ,,0.15,3,,,,
,,,Trip to Caribbean ,,0.25,5,,,,
,,,Sore Throat ,,0.1,2,,,,
,,,Ulcers on Tongue ,,0.1,2,,,,
,,,Headache ,,0.08,1.6,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,0.4,,,,
,,,Carditis ,,0.15,3,,,,
,,,Subcutaneous Nodule ,,0.15,3,,,,
,,,Chorea ,,0.15,3,,,,
Serum Sickness ,5,Moderately Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.04,
,,,Symmetric ,,0.15,6,,,,
,,,Rash on Abdomen ,,0.15,6,,,,
,,,Fever ,,0.15,6,,,,
,,,Trip to Caribbean ,,0.25,10,,,,
,,,Sore Throat ,,0.1,4,,,,
,,,Ulcers on Tongue ,,0.1,4,,,,
,,,Headache ,,0.08,3.2,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,0.8,,,,
,,,Arthralgias ,,0.15,6,,,,
,,,Typically Resolve ,,0.15,6,,,,
Adult Onset Still's Disease ,8,Rare,,,,,Arthralgias ,Chikungunya Viral Infection ,0.1,
,,,Symmetric ,,0.15,15,,,,
,,,Rash on Abdomen ,,0.15,15,,,,
,,,Fever ,,0.15,15,,,,
,,,Trip to Caribbean ,,0.25,25,,,,
,,,Sore Throat ,,0.1,10,,,,
,,,Ulcers on Tongue ,,0.1,10,,,,
,,,Headache ,,0.08,8,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,2,,,,
,,,Normal WBC ,,0.15,15,,,,
,,,Usually Leukocytosis ,,0.15,15,,,,
Rat Bite Fever ,6,Rare,,,,,Arthralgias ,Chikungunya Viral Infection ,0.01,
,,,Symmetric ,,0.15,1.5,,,,
,,,Rash on Abdomen ,,0.15,1.5,,,,
,,,Fever ,,0.15,1.5,,,,
,,,Trip to Caribbean ,,0.25,2.5,,,,
,,,Sore Throat ,,0.1,1,,,,
,,,Ulcers on Tongue ,,0.1,1,,,,
,,,Headache ,,0.08,0.8,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,0.2,,,,
,,,Hemorraghic Vesicles on Arms and Legs ,,0.15,1.5,,,,
Lyme Disease ,8,Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.08,
,,,Symmetric ,,0.15,12,,,,
,,,Rash on Abdomen ,,0.15,12,,,,
,,,Fever ,,0.15,12,,,,
,,,Trip to Caribbean ,,0.25,20,,,,
,,,Sore Throat ,,0.1,8,,,,
,,,Ulcers on Tongue ,,0.1,8,,,,
,,,Headache ,,0.08,6.4,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,1.6,,,,
,,,Arthralgias After Rash Disappears ,,0.15,12,,,,
,,,Arthritis Is Oligoarticular or Monoarticular of Large Joints. ,,0.15,12,,,,
Rocky Mounted Spotted Fever ,10,Rare,,,,,Arthralgias ,Chikungunya Viral Infection ,0.04,
,,,Symmetric ,,0.15,6,,,,
,,,Rash on Abdomen ,,0.15,6,,,,
,,,Fever ,,0.15,6,,,,
,,,Trip to Caribbean ,,0.25,10,,,,
,,,Sore Throat ,,0.1,4,,,,
,,,Ulcers on Tongue ,,0.1,4,,,,
,,,Headache ,,0.08,3.2,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,0.8,,,,
,,,Patient Quite Ill When Rash Appears. Rash Starts Peripherally ,,0.15,6,,,,
,,,Then Centrally Spread ,,0.15,6,,,,
Rubella ,4,Rare,,,,,Arthralgias ,Chikungunya Viral Infection ,0.01,
,,,Symmetric ,,0.15,1.5,,,,
,,,Rash on Abdomen ,,0.15,1.5,,,,
,,,Fever ,,0.15,1.5,,,,
,,,Trip to Caribbean ,,0.25,2.5,,,,
,,,Sore Throat ,,0.1,1,,,,
,,,Ulcers on Tongue ,,0.1,1,,,,
,,,Headache ,,0.08,0.8,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,0.2,,,,
,,,Rash Starts on Face ,,0.15,1.5,,,,
,,,Arthralgias Involve Small Joints ,,0.15,1.5,,,,
Parvovirus B19 ,6,Rare,,,,,Arthralgias ,Chikungunya Viral Infection ,0.05,
,,,Symmetric ,,0.15,7.5,,,,
,,,Rash on Abdomen ,,0.15,7.5,,,,
,,,Fever ,,0.15,7.5,,,,
,,,Trip to Caribbean ,,0.25,12.5,,,,
,,,Sore Throat ,,0.1,5,,,,
,,,Ulcers on Tongue ,,0.1,5,,,,
,,,Headache ,,0.08,4,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,1,,,,
,,,Serology ,,0.15,7.5,,,,
Acute HIV ,8,Moderately Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.05,
,,,Symmetric ,,0.15,7.5,,,,
,,,Rash on Abdomen ,,0.15,7.5,,,,
,,,Fever ,,0.15,7.5,,,,
,,,Trip to Caribbean ,,0.25,12.5,,,,
,,,Sore Throat ,,0.1,5,,,,
,,,Ulcers on Tongue ,,0.1,5,,,,
,,,Headache ,,0.08,4,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,1,,,,
,,,Serology ,,0.15,7.5,,,,
Dengue ,6,Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.15,
,,,Symmetric ,,0.15,22.5,,,,
,,,Rash on Abdomen ,,0.15,22.5,,,,
,,,Fever ,,0.15,22.5,,,,
,,,Trip to Caribbean ,,0.25,37.5,,,,
,,,Sore Throat ,,0.1,15,,,,
,,,Ulcers on Tongue ,,0.1,15,,,,
,,,Headache ,,0.08,12,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,3,,,,
,,,Tourniquet Test ,,0.15,22.5,,,,
,,,Can Be Fatal. Thrombocytopenia Is Pronounced. ,,0.15,22.5,,,,
Malaria ,8,Moderately Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.15,
,,,Symmetric ,,0.15,22.5,,,,
,,,Rash on Abdomen ,,0.15,22.5,,,,
,,,Fever ,,0.15,22.5,,,,
,,,Trip to Caribbean ,,0.25,37.5,,,,
,,,Sore Throat ,,0.1,15,,,,
,,,Ulcers on Tongue ,,0.1,15,,,,
,,,Headache ,,0.08,12,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,3,,,,
,,,Only Haiti and Dominican Republic. Peripheal Smear ,,0.15,22.5,,,,
Typhoid ,6,Moderately Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.15,
,,,Symmetric ,,0.15,22.5,,,,
,,,Rash on Abdomen ,,0.15,22.5,,,,
,,,Fever ,,0.15,22.5,,,,
,,,Trip to Caribbean ,,0.25,37.5,,,,
,,,Sore Throat ,,0.1,15,,,,
,,,Ulcers on Tongue ,,0.1,15,,,,
,,,Headache ,,0.08,12,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,3,,,,
,,,Onset Subacute Not Acute ,,0.15,22.5,,,,
Hepatitus A ,6,Common,,,,,Arthralgias ,Chikungunya Viral Infection ,0.1,
,,,Symmetric ,,0.15,15,,,,
,,,Rash on Abdomen ,,0.15,15,,,,
,,,Fever ,,0.15,15,,,,
,,,Trip to Caribbean ,,0.25,25,,,,
,,,Sore Throat ,,0.1,10,,,,
,,,Ulcers on Tongue ,,0.1,10,,,,
,,,Headache ,,0.08,8,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,2,,,,
,,,Incubation 28 Days; Nearly Normal Aminotransferrate Levels ,,0.15,15,,,,
Leptospirosis ,8,Rare,,,,,Arthralgias ,Chikungunya Viral Infection ,0.1,
,,,Symmetric ,,0.15,15,,,,
,,,Rash on Abdomen ,,0.15,15,,,,
,,,Fever ,,0.15,15,,,,
,,,Trip to Caribbean ,,0.25,25,,,,
,,,Sore Throat ,,0.1,10,,,,
,,,Ulcers on Tongue ,,0.1,10,,,,
,,,Headache ,,0.08,8,,,,
,,,Leukopenia or Thrombocytopenia ,,0.02,2,,,,
